Timestamp,Ballot for Group Name [UMD Physics Makers],Ballot for Group Name [[Si] Unit],Ballot for Group Name [Alpha Team Of Makers (ATOM)],Ballot for Group Name [UMD Physics Hackers],Ballot for Group Name [Making Physics],Ballot for Group Name [Making Physics Happen],Ballot for Group Name [Students Hacking and Making (SHM)],Ballot for Group Name [Fine-tuners],Ballot for Workspace Name [[Si]gma Lab],Ballot for Workspace Name [UMD Physics Makerspace],Ballot for Workspace Name [Vortex],Ballot for Workspace Name [h-bar],Ballot for Workspace Name [Physics Innovation Lab (Pi Lab)],Ballot for Workspace Name [Atomic],Ballot for Workspace Name [Momentum Space]
10/13/2017 18:23:11,2,3,1,4,7,8,6,5,6,3,1,5,4,2,7
10/13/2017 18:24:29,1,8,6,2,4,7,5,3,7,4,1,3,6,5,2
10/13/2017 18:25:24,7,4,1,,6,3,5,2,1,5,4,7,6,2,3
10/13/2017 18:25:29,3,1,8,2,6,7,5,4,2,6,3,1,5,7,4
10/13/2017 18:29:49,2,6,3,1,4,7,8,5,5,4,6,2,7,3,1
10/13/2017 18:33:55,7,6,8,5,2,3,1,4,4,2,7,6,5,1,3
10/13/2017 18:55:48,,,,,,,,1,,2,,3,1,,
10/13/2017 19:25:18,6,1,2,5,7,8,4,3,6,3,7,1,2,5,4
10/13/2017 20:03:47,8,2,1,7,5,4,6,3,4,5,6,2,1,7,3
10/13/2017 20:05:04,1,2,7,6,3,4,5,8,3,7,2,6,1,5,4
10/13/2017 20:40:58,1,5,3,8,4,2,7,6,4,3,7,5,1,6,2
10/13/2017 20:56:06,4,2,3,8,1,6,7,5,5,7,1,4,6,3,2
10/13/2017 21:53:16,1,7,3,2,4,6,8,5,2,4,1,7,3,5,6
10/14/2017 1:19:45,3,5,7,1,2,6,8,4,7,1,2,5,4,6,3
10/14/2017 2:34:47,1,3,6,2,,5,7,4,5,1,6,7,2,4,3
10/14/2017 5:16:16,,,,,,,,1,,,,,,,1
10/14/2017 13:47:31,2,5,1,6,3,4,8,7,7,1,3,6,2,5,4